التاريخ,البند الرئيسي,تفاصيل,أونلاين / مصنع,المبلغ (جم),طريقة الدفع,ملاحظات,,,,,,,,,,,,,,,,,,,
25/12/14,قماش,8320 قماش ميلتون زيتي,مصنع,EGP 8٬320٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,إعلانات عايدة,٢٤ اعلانات عايدة,أونلاين,EGP 24٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,إعلانات اوفر,٥٥٠٠ اعلانات اوفر سايز,أونلاين,EGP 5٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,قماش,١٢٠ الف من حساب ميلتون باقي ٥٢ الف,مصنع,EGP 120٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,مستلزمات اونلاين,٦٠ سلوتب,أونلاين,EGP 60٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,اكراميات,٤٠٠ مشال,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,انتقالات,٤٠ اسكوتر,مصنع,EGP 40٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,مستلزمات اونلاين,٥١٧ شولاه سلوتب اكياس,أونلاين,EGP 517٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,مستلزمات تصنع,٩٠٠ كينار,مصنع,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,سلف مصنع,١٠٠ سلفه هشام,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,سلف مصنع,١٠٠ سلفه ام اسلام,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,سلف مصنع,٨٨٠ هشام تصنيع,مصنع,EGP 880٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,مرتبات اونلاين,مرتب رانيا ٢٧٨٠,أونلاين,EGP 2٬780٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,مرتبات مصنع,21375 مرتبات نص شهر,مصنع,EGP 21٬375٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,سلف مصنع,٢٠٠٠ سلفه ام منار,مصنع,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,سلف مصنع,٥٠٠ سلفه ام هاجر,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,اكراميات,١٥٠ مشال,مصنع,EGP 150٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/15,مرتجعات,مرتجع اوفر سايز,أونلاين,EGP 2٬600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,مستلزمات تصنع,١٢٠٠ خيط,مصنع,EGP 1٬200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,إعلانات عايدة,٢٨ الف عايدة,أونلاين,EGP 28٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,إعلانات اوفر,٧ الف اوفر سايز,أونلاين,EGP 7٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,إعلانات عايدة,٢٧ الف عايدة,أونلاين,EGP 27٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,إعلانات اوفر,٩ الف اوفر سايز,أونلاين,EGP 9٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,سلف مصنع,١٠٠٠ ج سلفة ام اسلام,مصنع,EGP 1٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,قماش,حساب سمر ميلتون خرجي,مصنع,EGP 15٬795٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,اكراميات,٢٥٠ مشال,مصنع,EGP 250٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,انتقالات,٥٠ اسكوتر,مصنع,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/16,حساب ريهام,١٠ الف ريهام,مصنع,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/17,إعلانات عايدة,٢٥ الف عايدة اعلانات,أونلاين,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/17,إعلانات اوفر,٦ الف اوفر سايز,أونلاين,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/17,قماش,٥٩٥٠٠ من حساب سمى ميلتون,مصنع,EGP 59٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,مرتبات خارجية,٦١٠ باقي حساب هشام+200,مصنع,EGP 810٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,إعلانات عايدة,٥٨ عايدة,أونلاين,EGP 58٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,إعلانات اوفر,١٠ الف اوفر سايز,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,انتقالات,٥٠ اسكوتر,,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,مستلزمات اونلاين,150 جنيه نظافه خارجيه للمكان,,EGP 150٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,مرتبات مصنع,13570 مرتبات اسبوع,,EGP 13٬570٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,مستلزمات اونلاين,٢٥٠ منظفات مكتب,,EGP 250٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,سلف اونلاين,٣٠٠ سلفه شهد,,EGP 300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/18,مستلزمات تصنع,بترونات,,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,مستلزمات اونلاين,٢٠٥٠ اكياس و فليرات,,EGP 2٬050٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,مستلزمات تصنع,١٠٥٠ كلفه,,EGP 1٬050٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,مرافق اونلاين,٤٥٠ فتورة نت,,EGP 450٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,اكراميات,200 مشال,,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,سلف مصنع,١٠٠ سلفه محمود,,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,سلف مصنع,٥٠ سلفه هايدى,,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,سلف مصنع,٥٠ سلفه سماح,,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,انتقالات,٥٠ اسكوتر,,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/20,سلف مصنع,٢٠٠ سلفه ام اسلام,,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,اشتراكات اونلان,اوفر سايز ويب 1300,,EGP 1٬300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,اكراميات,١٥٠ مشال ٢٠٠ مشال,,EGP 350٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,مرتبات اونلاين,مرتب علياء اوفر سايز 2000,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,إعلانات عايدة,٣٠ الف اعلانات عايدة,,EGP 30٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,إعلانات اوفر,٦ الف اعلانات اوفر سايز,,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,سلف اونلاين,رانيا سلفه 400,,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/21,إعلانات اوفر,١٥٠٠ اوفر سايز,,EGP 1٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,مستلزمات تصنع,١٣٠٠ خيط,,EGP 1٬300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,قماش,١٩٠٠٠ سمر ميلتون خارجي,,EGP 19٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,مستلزمات تصنع,٣٠٠ ج زاراير,,EGP 300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,قماش,45 الف من حساب سمر ميلتون الاجل,,EGP 45٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,تعاملات قانونية,١٠ الف اول دفعة من حساب المحاسب القانوني الجديد,,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,حساب ريهام,٥ الف من حساب ريهام,,EGP 5٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,سلف مصنع,ام اسلام ٥٠٠,,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,سلف مصنع,يوسف ٣٥٠,,EGP 350٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,سلف مصنع,وياسمين ٥٠٠,,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,سلف مصنع,ام هاجر ٥٠٠,,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/22,إعلانات اوفر,٢٠٠٠ اعلانات اوفر سايز,,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/23,مستلزمات تصنع,800 استيك,,EGP 800٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/23,مرتجعات,مرتجع 100,,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
